Station_ID,State,City,Latitude,Longitude,Charger_Type,Number_of_Ports,Daily_Utilization_Pct,Installation_Cost_INR,Monthly_Maintenance_INR,Power_Output_kW,Operational_Since,Utilization_Category
ST-0181,Madhya Pradesh,Jabalpur,22.4733,72.5753,AC Level 1,2,77.8,148000,1800,3,05-03-2021,High
ST-0043,Karnataka,Bengaluru,13.0127,77.6027,Ultra-Fast DC,3,75.8,2378000,28500,149.8,10-04-2020,High
ST-0244,Uttar Pradesh,Meerut,24.8774,71.4076,AC Level 2,7,77,371000,4500,20.2,11-12-2020,High
ST-0192,Punjab,Ludhiana,21.7629,73.8104,AC Level 1,5,82.3,143000,1700,3.2,28-08-2021,High
ST-0022,Kerala,Thiruvananthapuram,26.9056,77.82,AC Level 2,8,88,389000,4700,23.4,26-05-2021,High
ST-0216,Rajasthan,Kota,17.1755,83.6505,DC Fast Charger,2,95.6,949000,11400,62.4,07-12-2021,Critical
ST-0221,Uttar Pradesh,Lucknow,26.8258,80.9206,DC Fast Charger,5,80.8,937000,11200,65.2,24-02-2020,High
ST-0296,Haryana,Panipat,22.7118,77.0103,AC Level 2,9,90.4,355000,4300,21,12-02-2023,Critical
ST-0037,Delhi,New Delhi,28.5689,77.1781,DC Fast Charger,5,92.7,892000,10700,64.3,06-03-2023,Critical
ST-0178,Uttar Pradesh,Varanasi,18.5491,72.7859,AC Level 1,6,88.9,130000,1600,3.6,08-07-2023,High
ST-0064,Kerala,Kochi,9.9302,76.27,DC Fast Charger,5,78.4,957000,11500,62.1,21-06-2022,High
ST-0237,Kerala,Kochi,9.9261,76.2245,AC Level 1,6,76.7,137000,1600,3.4,17-12-2020,High
ST-0225,Tamil Nadu,Tiruchirappalli,15.8834,75.1028,AC Level 2,5,88.9,342000,4100,23,09-01-2022,High
ST-0056,Madhya Pradesh,Gwalior,15.6099,82.9242,Ultra-Fast DC,3,92.7,2181000,26200,135,13-12-2021,Critical
ST-0203,Haryana,Faridabad,22.8404,80.0275,DC Fast Charger,6,82,992000,11900,60.3,28-08-2022,High
ST-0273,Rajasthan,Ajmer,26.0948,82.8718,AC Level 2,5,81.4,373000,4500,21.6,24-12-2020,High
ST-0213,Maharashtra,Solapur,24.2871,73.5529,DC Fast Charger,2,88.6,899000,10800,56.9,09-04-2023,High
ST-0147,Punjab,Patiala,27.9443,75.4615,AC Level 1,3,88,152000,1800,3.5,25-04-2022,High
ST-0082,Telangana,Hyderabad,17.4099,78.5188,AC Level 2,10,86.9,392000,4700,23.5,28-12-2020,High
ST-0071,Haryana,Yamunanagar,22.9441,77.82,Ultra-Fast DC,1,83.1,2824000,33900,162.9,21-05-2021,High
ST-0230,Uttar Pradesh,Lucknow,26.8764,80.9056,AC Level 1,5,80.9,155000,1900,3.4,11-10-2020,High
ST-0243,Gujarat,Ahmedabad,22.9957,72.5796,DC Fast Charger,5,78.2,811000,9700,64.2,22-03-2022,High
ST-0249,Kerala,Kozhikode,17.272,79.9132,AC Level 1,2,80.1,133000,1600,3.4,12-08-2022,High
ST-0208,Tamil Nadu,Vellore,25.391,80.645,AC Level 2,5,95.6,342000,4100,23,10-10-2021,Critical
ST-0081,Madhya Pradesh,Gwalior,17.7757,76.1964,Ultra-Fast DC,2,87.2,2397000,28800,151.4,07-03-2020,High
ST-0122,Uttar Pradesh,Agra,25.2654,81.3837,Ultra-Fast DC,1,83.2,2524000,30300,141.5,17-06-2023,High
ST-0103,Uttar Pradesh,Allahabad,26.9528,81.7957,AC Level 2,7,93.7,439000,5300,22.6,14-11-2021,Critical
ST-0196,Karnataka,Belagavi,28.1902,81.7255,AC Level 1,6,75.5,129000,1500,3.1,15-08-2020,High
ST-0168,Andhra Pradesh,Kurnool,18.6176,76.1843,DC Fast Charger,5,75.6,967000,11600,60.3,16-03-2020,High
ST-0117,Karnataka,Bengaluru,12.979,77.5494,AC Level 1,3,82.6,155000,1900,3.3,09-07-2021,High
ST-0219,Gujarat,Vadodara,22.3353,73.2273,DC Fast Charger,5,78.6,874000,10500,58.4,14-01-2020,High
ST-0090,Andhra Pradesh,Tirupati,25.9409,85.6058,AC Level 2,8,47.6,398000,4800,23.3,15-12-2020,Low
ST-0293,Telangana,Karimnagar,16.9812,84.302,AC Level 1,6,34.1,133000,1600,3.5,28-10-2022,Low
ST-0241,Punjab,Chandigarh,30.6973,76.7523,AC Level 1,2,12.7,164000,2000,3.5,27-02-2022,Low
ST-0277,Madhya Pradesh,Gwalior,28.5854,80.9573,AC Level 2,7,22.9,359000,4300,22.3,07-06-2021,Low
ST-0170,Haryana,Yamunanagar,17.2447,79.2359,AC Level 1,2,29.7,131000,1600,3.1,01-09-2023,Low
ST-0004,Uttar Pradesh,Meerut,23.03,72.945,Ultra-Fast DC,3,27.1,2732000,32800,156.7,31-03-2022,Low
ST-0161,Kerala,Kozhikode,26.6124,70.3124,Ultra-Fast DC,1,37.1,2607000,31300,154.3,23-09-2023,Low
ST-0183,Punjab,Ludhiana,22.3049,71.8366,AC Level 2,8,13.8,424000,5100,20.4,08-05-2022,Low
ST-0067,Gujarat,Bhavnagar,23.1109,73.289,DC Fast Charger,6,24.7,1017000,12200,54.9,24-11-2023,Low
ST-0042,West Bengal,Kolkata,22.5786,88.384,AC Level 2,5,48.7,423000,5100,22.6,27-01-2021,Low
ST-0107,Tamil Nadu,Vellore,21.9095,83.8541,DC Fast Charger,5,16.9,868000,10400,63.8,03-12-2022,Low
ST-0154,Karnataka,Belagavi,16.5811,77.1746,AC Level 2,6,35.6,441000,5300,21.2,18-02-2020,Low
ST-0024,Gujarat,Gandhinagar,26.4698,84.521,DC Fast Charger,6,41.7,1015000,12200,61.5,25-04-2022,Low
ST-0005,Delhi,Noida,17.7131,72.0512,AC Level 2,9,29.8,409000,4900,20.2,11-02-2023,Low
ST-0194,Uttar Pradesh,Kanpur,28.158,76.4421,DC Fast Charger,2,49.3,840000,10100,62,27-02-2022,Low
ST-0215,Madhya Pradesh,Bhopal,23.3024,77.4497,Ultra-Fast DC,1,38.8,2220000,26600,146.2,27-09-2023,Low
ST-0029,Punjab,Jalandhar,16.0433,77.4935,AC Level 2,10,42.7,359000,4300,19.9,06-09-2020,Low
ST-0282,Gujarat,Bhavnagar,19.5595,79.2134,AC Level 1,3,35.3,138000,1700,3.5,01-05-2023,Low
ST-0019,Andhra Pradesh,Kurnool,21.5468,80.2807,DC Fast Charger,6,44.6,925000,11100,60.6,02-07-2020,Low
ST-0124,Uttar Pradesh,Lucknow,26.8914,80.9366,AC Level 2,10,30.7,404000,4800,21.8,06-11-2022,Low
ST-0104,Rajasthan,Ajmer,27.1118,73.3526,AC Level 2,6,40.7,424000,5100,21.9,06-09-2021,Low
ST-0205,Madhya Pradesh,Gwalior,21.16,75.532,DC Fast Charger,6,48.3,996000,12000,64.4,26-07-2022,Low
ST-0195,Andhra Pradesh,Guntur,22.9288,74.6993,DC Fast Charger,1,42.9,990000,11900,61.2,03-11-2023,Low
ST-0070,Maharashtra,Aurangabad,28.038,80.3671,AC Level 2,8,38.7,363000,4400,24,19-09-2022,Low
ST-0182,Telangana,Karimnagar,20.0465,82.8939,Ultra-Fast DC,2,40.1,2474000,29700,144.1,19-11-2020,Low
ST-0207,Punjab,Ludhiana,17.2231,74.5553,AC Level 2,5,26.5,368000,4400,24,08-01-2021,Low
ST-0286,Kerala,Thrissur,23.9978,72.3812,DC Fast Charger,2,41.5,927000,11100,55.2,12-12-2022,Low
ST-0091,Rajasthan,Ajmer,28.1095,83.8438,AC Level 2,5,49.9,370000,4400,20.4,22-09-2021,Low
ST-0190,Maharashtra,Solapur,26.0464,73.9014,DC Fast Charger,3,42.6,876000,10500,61.8,20-03-2023,Low
ST-0242,Delhi,Noida,23.9672,74.9577,Ultra-Fast DC,3,39.4,2589000,31100,146.6,26-05-2022,Low
ST-0058,West Bengal,Kolkata,22.6205,88.3372,DC Fast Charger,3,42.7,1010000,12100,61.6,13-04-2020,Low
ST-0274,Gujarat,Vadodara,22.3379,73.211,AC Level 1,5,46.5,141000,1700,3.3,10-10-2021,Low
ST-0140,Maharashtra,Kolhapur,25.605,71.7645,Ultra-Fast DC,3,43.7,2376000,28500,155,10-08-2022,Low
ST-0120,Telangana,Warangal,25.5242,84.3018,Ultra-Fast DC,3,38.6,2791000,33500,164,09-02-2021,Low
ST-0079,Punjab,Amritsar,16.5962,72.9067,DC Fast Charger,6,35.7,893000,10700,62.4,06-05-2023,Low
ST-0047,Telangana,Warangal,17.8814,80.5408,AC Level 2,9,26.9,356000,4300,22.7,04-08-2020,Low
ST-0267,Gujarat,Rajkot,18.961,74.6105,AC Level 2,9,45,443000,5300,23.2,11-04-2022,Low
ST-0272,Kerala,Kollam,29.0391,78.3972,DC Fast Charger,3,39.1,828000,9900,61.3,03-10-2021,Low
ST-0265,Madhya Pradesh,Ujjain,27.1668,83.6114,Ultra-Fast DC,2,33.2,2704000,32400,151.3,16-01-2022,Low
ST-0271,Delhi,New Delhi,28.589,77.223,DC Fast Charger,3,47.8,951000,11400,55.3,17-08-2020,Low
ST-0111,Gujarat,Vadodara,22.2702,73.1612,AC Level 2,6,49.1,369000,4400,20,05-02-2022,Low
ST-0240,Gujarat,Rajkot,16.6975,85.7235,AC Level 1,5,49.4,166000,2000,3.1,12-10-2022,Low
ST-0063,Madhya Pradesh,Ujjain,16.3273,80.7296,Ultra-Fast DC,3,44.1,2445000,29300,160.8,06-12-2021,Low
ST-0101,Kerala,Kozhikode,18.9395,79.1655,DC Fast Charger,6,34.8,799000,9600,63,30-11-2022,Low
ST-0149,Delhi,New Delhi,23.03,77.2294,Ultra-Fast DC,2,49,2314000,27800,153.9,16-02-2022,Low
ST-0040,Maharashtra,Thane,26.6667,73.7954,AC Level 1,6,37.9,167000,2000,3.2,09-12-2022,Low
ST-0159,Uttar Pradesh,Lucknow,26.842,80.9303,Ultra-Fast DC,1,40.2,2143000,25700,150.4,21-10-2020,Low
ST-0018,Uttar Pradesh,Meerut,28.9787,78.753,AC Level 2,5,45.5,396000,4700,21,16-07-2023,Low
ST-0220,Telangana,Karimnagar,21.2363,78.8866,AC Level 2,5,10.1,346000,4200,21.1,08-02-2023,Low
ST-0257,Karnataka,Hubli,16.6806,72.7133,DC Fast Charger,5,46.3,984000,11800,57.8,30-06-2021,Low
ST-0098,Karnataka,Hubli,19.8728,84.3171,AC Level 1,5,43.1,168000,2000,3.3,22-08-2021,Low
ST-0069,Punjab,Patiala,19.0695,77.3977,AC Level 1,2,19.2,171000,2000,3.1,08-08-2020,Low
ST-0130,Uttar Pradesh,Allahabad,24.9175,71.401,AC Level 2,10,41.6,391000,4700,20.5,15-09-2023,Low
ST-0020,Uttar Pradesh,Agra,20.4494,74.1599,DC Fast Charger,6,40,796000,9600,54.8,05-12-2021,Low
ST-0138,Tamil Nadu,Salem,22.6784,78.8827,Ultra-Fast DC,2,15.6,2578000,30900,149.4,19-05-2022,Low
ST-0137,Madhya Pradesh,Jabalpur,29.6304,72.148,AC Level 2,10,42.1,425000,5100,21,30-06-2023,Low
ST-0291,Telangana,Khammam,18.8593,71.5311,AC Level 1,2,49.8,141000,1700,3.4,26-12-2021,Low
ST-0239,Kerala,Thiruvananthapuram,21.6004,85.2919,AC Level 2,7,39,439000,5300,20,19-11-2022,Low
ST-0032,Uttar Pradesh,Allahabad,19.4817,75.7254,AC Level 1,3,24.4,140000,1700,3.2,26-10-2021,Low
ST-0089,Madhya Pradesh,Indore,22.7326,75.8201,AC Level 1,5,47.6,145000,1700,3.1,08-12-2022,Low
ST-0059,Madhya Pradesh,Jabalpur,29.5586,82.0242,AC Level 1,3,30.6,135000,1600,3.2,30-10-2020,Low
ST-0261,Delhi,Gurugram,20.9827,73.6086,AC Level 1,6,21.9,152000,1800,3,13-07-2021,Low
ST-0288,Telangana,Warangal,21.4524,73.2767,AC Level 2,9,36.9,368000,4400,23.3,04-01-2021,Low
ST-0163,Telangana,Nizamabad,27.6857,82.5415,AC Level 1,6,49.7,154000,1800,3,12-11-2023,Low
ST-0008,Karnataka,Shivamogga,17.4652,73.4799,DC Fast Charger,2,52.4,939000,11300,61.2,16-11-2021,Normal
ST-0014,Tamil Nadu,Coimbatore,10.9758,76.9484,AC Level 2,9,55.1,408000,4900,22,07-12-2020,Normal
ST-0193,Gujarat,Bhavnagar,30.0244,70.2213,DC Fast Charger,5,51.3,938000,11300,65.2,20-07-2022,Normal
ST-0148,Punjab,Jalandhar,18.5597,77.0323,AC Level 2,8,63,382000,4600,23.2,08-08-2023,Normal
ST-0135,Telangana,Khammam,18.1469,72.7706,AC Level 2,8,64.7,420000,5000,20.7,04-05-2022,Normal
ST-0233,Telangana,Hyderabad,17.3368,78.4435,Ultra-Fast DC,1,62.5,2456000,29500,154.3,13-09-2023,Normal
ST-0158,Punjab,Ludhiana,19.1582,71.0085,Ultra-Fast DC,3,54.5,2688000,32300,136.7,30-12-2020,Normal
ST-0236,Tamil Nadu,Vellore,29.1075,85.2174,DC Fast Charger,6,59.2,872000,10500,62.4,31-10-2022,Normal
ST-0113,Rajasthan,Kota,25.9486,78.3812,DC Fast Charger,2,65.9,1010000,12100,64.2,24-02-2021,Normal
ST-0160,West Bengal,Asansol,18.2578,80.3026,Ultra-Fast DC,1,58.9,2275000,27300,149.3,24-05-2020,Normal
ST-0210,Tamil Nadu,Madurai,21.6978,85.568,DC Fast Charger,5,55.8,803000,9600,54.6,24-10-2020,Normal
ST-0030,Punjab,Amritsar,20.7585,85.6337,AC Level 2,5,70.8,440000,5300,20.1,03-12-2022,Normal
ST-0218,Delhi,Dwarka,27.1175,85.4861,Ultra-Fast DC,1,68.7,2526000,30300,146.5,21-10-2020,Normal
ST-0141,West Bengal,Kolkata,22.6102,88.3587,AC Level 2,9,54.5,342000,4100,21.6,09-06-2023,Normal
ST-0252,West Bengal,Durgapur,28.2991,72.6437,Ultra-Fast DC,1,57.2,2213000,26600,139.2,12-08-2020,Normal
ST-0258,Maharashtra,Kolhapur,23.8008,85.7503,Ultra-Fast DC,1,55.2,2443000,29300,152.9,27-09-2022,Normal
ST-0251,Telangana,Hyderabad,17.3557,78.5014,Ultra-Fast DC,1,51.1,2328000,27900,160.8,28-12-2020,Normal
ST-0268,Gujarat,Ahmedabad,22.9952,72.5684,DC Fast Charger,6,52.5,1004000,12000,62,14-05-2022,Normal
ST-0232,Gujarat,Surat,21.1226,72.8146,AC Level 2,5,70.2,388000,4700,23.5,09-06-2020,Normal
ST-0012,Kerala,Kollam,21.0425,84.4671,AC Level 1,3,62.2,169000,2000,3.4,10-10-2021,Normal
ST-0099,Uttar Pradesh,Kanpur,16.8214,83.7487,DC Fast Charger,6,65.2,1002000,12000,57.4,26-11-2023,Normal
