Station_ID,State,City,Latitude,Longitude,Charger_Type,Number_of_Ports,Daily_Utilization_Pct,Installation_Cost_INR,Monthly_Maintenance_INR,Power_Output_kW,Operational_Since
ST-0113,Rajasthan,Kota,25.9486,78.3812,DC Fast Charger,2.0,65.9,1010000,12100,64.2,2021-02-24
ST-0160,West Bengal,Asansol,18.2578,80.3026,Ultra-Fast DC,1.0,58.9,2275000,27300,149.3,2020-05-24
ST-0210,Tamil Nadu,Madurai,21.6978,85.568,DC Fast Charger,5.0,55.8,803000,9600,54.6,2020-10-24
ST-0198,Andhra Pradesh,Vijayawada,17.0949,75.3308,AC Level 1,5.0,81.8,137000,1600,3.5,2021-04-06
ST-0260,Gujarat,Rajkot,24.574,85.5814,AC Level 1,6.0,97.5,171000,2000,3.3,2020-04-07
ST-0030,Punjab,Amritsar,20.7585,85.6337,AC Level 2,5.0,70.8,440000,5300,20.1,2022-12-03
ST-0143,Rajasthan,Udaipur,19.3742,70.5231,DC Fast Charger,2.0,86.3,919000,11000,55.5,2023-03-30
ST-0170,Haryana,Yamunanagar,17.2447,79.2359,AC Level 1,2.0,29.7,131000,1600,3.1,2023-09-01
ST-0218,Delhi,Dwarka,27.1175,85.4861,Ultra-Fast DC,1.0,68.7,2526000,30300,146.5,2020-10-21
ST-0004,Uttar Pradesh,Meerut,,72.945,Ultra-Fast DC,3.0,27.1,2732000,32800,156.7,2022-03-31
ST-0161,Kerala,Kozhikode,26.6124,70.3124,Ultra-Fast DC,1.0,37.1,2607000,31300,154.3,2023-09-23
ST-0141,West Bengal,Kolkata,22.6102,88.3587,AC Level 2,9.0,54.5,342000,4100,21.6,2023-06-09
ST-0252,West Bengal,Durgapur,28.2991,72.6437,Ultra-Fast DC,,57.2,2213000,26600,139.2,2020-08-12
ST-0258,Maharashtra,Kolhapur,23.8008,85.7503,Ultra-Fast DC,1.0,55.2,2443000,29300,152.9,2022-09-27
ST-0287,Telangana,Nizamabad,27.369,77.9174,AC Level 2,5.0,93.7,355000,4300,23.6,2022-10-09
ST-0251,Telangana,Hyderabad,17.3557,78.5014,Ultra-Fast DC,1.0,51.1,2328000,27900,160.8,2020-12-28
ST-0134,Haryana,Panipat,27.9742,73.7554,Ultra-Fast DC,4.0,28.6,2643000,31700,154.9,2022-02-20
ST-0268,Gujarat,Ahmedabad,22.9952,72.5684,DC Fast Charger,6.0,52.5,1004000,12000,62.0,2022-05-14
ST-0275,West Bengal,Asansol,22.0993,73.9452,DC Fast Charger,5.0,88.7,839000,10100,56.6,2021-09-23
ST-0298,Andhra Pradesh,Tirupati,21.5206,85.9609,Ultra-Fast DC,4.0,54.9,2765000,33200,162.6,2022-07-26
ST-0054,Tamil Nadu,Madurai,20.5496,79.299,AC Level 2,10.0,84.7,367000,4400,20.8,2023-03-14
ST-0183,Punjab,Ludhiana,22.3049,71.8366,AC Level 2,8.0,13.8,424000,5100,20.4,2022-05-08
ST-0232,Gujarat,Surat,21.1226,72.8146,AC Level 2,5.0,70.2,388000,4700,23.5,2020-06-09
ST-0185,Haryana,Faridabad,20.677,73.5698,Ultra-Fast DC,4.0,60.8,2149000,25800,154.4,2020-10-23
ST-0075,Gujarat,Gandhinagar,,85.4834,DC Fast Charger,3.0,88.2,876000,10500,58.8,2023-08-29
ST-0189,West Bengal,Howrah,16.2515,83.7608,Ultra-Fast DC,4.0,71.9,2727000,32700,161.4,2021-07-25
ST-0176,Kerala,Thrissur,26.6698,70.222,Ultra-Fast DC,2.0,90.3,2561000,30700,163.1,2020-07-01
ST-0127,Rajasthan,Jodhpur,,79.4428,Ultra-Fast DC,2.0,87.8,2762000,33100,155.2,2020-12-20
ST-0067,Gujarat,Bhavnagar,23.1109,73.289,DC Fast Charger,6.0,24.7,1017000,12200,54.9,2023-11-24
ST-0042,West Bengal,Kolkata,22.5786,88.384,AC Level 2,5.0,48.7,423000,5100,22.6,2021-01-27
ST-0012,Kerala,Kollam,21.0425,84.4671,AC Level 1,3.0,62.2,169000,2000,3.4,2021-10-10
ST-0165,Madhya Pradesh,Bhopal,23.3026,77.4308,DC Fast Charger,5.0,88.4,925000,11100,66.0,2023-08-19
ST-0099,Uttar Pradesh,Kanpur,16.8214,83.7487,DC Fast Charger,6.0,65.2,1002000,12000,57.4,2023-11-26
ST-0270,Haryana,Gurugram,29.4723,77.7653,AC Level 1,2.0,79.8,151000,1800,3.2,2023-05-17
ST-0289,Telangana,Warangal,15.3943,85.6079,AC Level 2,7.0,77.8,435000,5200,21.6,2023-04-08
ST-0177,Andhra Pradesh,Kurnool,28.2771,76.6359,Ultra-Fast DC,3.0,63.5,2248000,27000,141.7,2022-12-07
ST-0174,Haryana,Faridabad,26.4383,79.4718,DC Fast Charger,4.0,82.5,956000,11500,59.5,2022-04-30
ST-0095,West Bengal,Durgapur,24.3154,78.8835,AC Level 2,5.0,94.7,451000,5400,20.8,2023-08-30
ST-0162,Telangana,Karimnagar,17.3112,75.2615,Ultra-Fast DC,4.0,42.3,2645000,31700,150.5,2022-09-06
ST-0217,Rajasthan,Udaipur,29.6502,84.0339,AC Level 1,3.0,57.6,157000,1900,3.1,2022-06-25
ST-0092,Delhi,Faridabad,26.4829,77.1399,AC Level 2,5.0,63.6,412000,4900,22.5,2023-06-29
ST-0238,Punjab,Patiala,15.0581,81.6342,AC Level 2,10.0,75.0,436000,5200,23.3,2023-11-30
ST-0107,Tamil Nadu,Vellore,21.9095,83.8541,DC Fast Charger,5.0,16.9,868000,10400,63.8,2022-12-03
ST-0011,Karnataka,Mangaluru,24.1906,77.3865,AC Level 2,9.0,76.1,410000,4900,23.9,2023-07-16
ST-0154,Karnataka,Belagavi,16.5811,77.1746,AC Level 2,6.0,35.6,441000,5300,21.2,2020-02-18
ST-0078,Rajasthan,Jodhpur,25.9128,82.2733,Ultra-Fast DC,3.0,65.6,2160000,25900,157.6,2020-11-07
ST-0024,Gujarat,Gandhinagar,26.4698,84.521,DC Fast Charger,6.0,41.7,1015000,12200,61.5,2022-04-25
ST-0128,Madhya Pradesh,Bhopal,23.2189,77.4234,Ultra-Fast DC,4.0,11.1,2600000,31200,147.9,2021-10-28
ST-0142,Maharashtra,Thane,23.0176,,Ultra-Fast DC,3.0,70.2,2634000,31600,145.1,2022-05-12
ST-0129,West Bengal,Kolkata,22.6217,88.3701,Ultra-Fast DC,4.0,24.7,2256000,27100,143.6,2021-11-01
ST-0206,Delhi,Gurugram,16.942,82.5971,AC Level 2,5.0,60.6,357000,4300,21.3,2021-08-13
ST-0164,Haryana,Ambala,16.8428,78.546,DC Fast Charger,4.0,79.8,972000,11700,57.1,2020-04-23
ST-0204,Rajasthan,Kota,21.6432,80.3292,DC Fast Charger,2.0,60.3,983000,11800,57.3,2022-11-30
ST-0202,Tamil Nadu,Madurai,211.787467032346,71.2584,AC Level 2,4.0,88.9,367000,4400,22.0,2020-11-04
ST-0055,Telangana,Khammam,28.7353,81.7096,DC Fast Charger,5.0,71.3,1018000,12200,62.2,2023-05-04
ST-0005,Delhi,Noida,17.7131,72.0512,AC Level 2,9.0,29.8,409000,4900,20.2,2023-02-11
ST-0157,Uttar Pradesh,Allahabad,29.0085,80.2396,DC Fast Charger,4.0,80.6,918000,11000,64.8,2020-11-27
ST-0105,West Bengal,Siliguri,19.8467,70.1231,DC Fast Charger,6.0,77.8,1004000,12100,56.5,2020-12-25
ST-0194,Uttar Pradesh,Kanpur,28.158,76.4421,DC Fast Charger,2.0,49.3,840000,10100,62.0,2022-02-27
ST-0171,Maharashtra,Kolhapur,28.5879,79.9102,AC Level 2,4.0,82.0,429000,5100,20.9,2021-09-21
ST-0215,Madhya Pradesh,Bhopal,23.3024,77.4497,Ultra-Fast DC,1.0,38.8,2220000,26600,146.2,2023-09-27
ST-0085,Gujarat,Gandhinagar,23.0422,85.7121,AC Level 1,6.0,80.5,128000,1500,3.3,2021-01-23
ST-0025,Gujarat,Ahmedabad,22.9925,72.5711,Ultra-Fast DC,4.0,50.2,2133000,25600,153.1,2021-01-19
ST-0283,Madhya Pradesh,Jabalpur,26.906,75.103,Ultra-Fast DC,3.0,78.2,2342000,28100,144.4,2021-07-31
ST-0115,Uttar Pradesh,Lucknow,26.8226,80.916,DC Fast Charger,4.0,78.8,885000,10600,57.8,2021-10-19
ST-0155,Kerala,Kochi,9.9008,76.2805,AC Level 2,9.0,55.7,420000,5000,23.8,2020-06-25
ST-0021,Delhi,Noida,23.0606,81.054,Ultra-Fast DC,4.0,42.1,2539000,30500,153.5,2021-08-22
ST-0029,Punjab,Jalandhar,16.0433,77.4935,AC Level 2,10.0,42.7,359000,4300,19.9,2020-09-06
ST-0132,Punjab,Chandigarh,30.751,76.8261,DC Fast Charger,2.0,85.7,824000,9900,57.0,2020-09-18
ST-0173,Punjab,Amritsar,21.4091,82.9968,Ultra-Fast DC,2.0,79.2,2660000,31900,150.1,2021-10-20
ST-0072,West Bengal,Durgapur,20.0027,76.334,AC Level 2,6.0,85.7,386000,4600,20.0,2023-07-04
ST-0282,Gujarat,Bhavnagar,19.5595,79.2134,AC Level 1,3.0,35.3,138000,1700,3.5,2023-05-01
ST-0227,Punjab,Amritsar,23.1582,83.9294,DC Fast Charger,4.0,19.3,924000,11100,60.6,2022-12-30
ST-0110,Kerala,Kochi,9.8967,76.2792,DC Fast Charger,5.0,72.9,902000,10800,65.4,2022-10-14
ST-0065,Maharashtra,Nashik,18.0384,75.94,AC Level 1,2.0,71.7,146000,1700,3.2,2023-06-25
ST-0015,Telangana,Hyderabad,17.3791,78.5217,Ultra-Fast DC,4.0,65.2,2372000,28500,136.8,2022-12-09
ST-0131,Tamil Nadu,Salem,22.9874,76.2147,Ultra-Fast DC,3.0,71.6,2796000,33600,145.9,2023-03-13
ST-0152,Delhi,New Delhi,28.6221,77.2304,Ultra-Fast DC,2.0,56.4,2251000,27000,135.0,2022-11-30
ST-0019,Andhra Pradesh,Kurnool,21.5468,80.2807,DC Fast Charger,6.0,44.6,925000,11100,60.6,2020-07-02
ST-0086,Delhi,Noida,20.9447,74.8307,DC Fast Charger,5.0,86.0,999000,12000,65.5,2023-06-09
ST-0124,Uttar Pradesh,Lucknow,26.8914,80.9366,AC Level 2,10.0,30.7,404000,4800,21.8,2022-11-06
ST-0156,Haryana,Yamunanagar,16.9231,80.4972,AC Level 2,9.0,86.2,388000,4700,23.6,2021-08-26
ST-0026,Rajasthan,Jaipur,26.9031,75.7588,AC Level 1,3.0,59.0,141000,1700,3.1,2020-09-13
ST-0119,Uttar Pradesh,Lucknow,26.8129,,AC Level 1,2.0,92.5,172000,2100,3.2,2022-05-23
ST-0104,Rajasthan,Ajmer,27.1118,73.3526,AC Level 2,6.0,40.7,424000,5100,21.9,2021-09-06
ST-0247,West Bengal,Durgapur,17.1986,77.269,AC Level 1,4.0,70.8,150000,1800,3.0,2023-07-10
ST-0205,Madhya Pradesh,Gwalior,21.16,75.532,DC Fast Charger,6.0,48.3,996000,12000,64.4,2022-07-26
ST-0195,Andhra Pradesh,Guntur,22.9288,74.6993,DC Fast Charger,,42.9,990000,11900,61.2,2023-11-03
ST-0224,Uttar Pradesh,Meerut,21.5165,74.0893,Ultra-Fast DC,1.0,57.8,2623000,31500,157.8,2021-06-15
ST-0070,Maharashtra,Aurangabad,28.038,80.3671,AC Level 2,8.0,38.7,363000,4400,24.0,2022-09-19
ST-0172,Haryana,Gurugram,21.819,72.7692,AC Level 1,2.0,57.1,161000,1900,3.2,2020-05-09
ST-0121,Andhra Pradesh,Kurnool,16.1585,84.7508,Ultra-Fast DC,4.0,68.8,2520000,30200,142.4,2020-07-18
ST-0045,Maharashtra,Thane,23.3442,85.0037,Ultra-Fast DC,3.0,72.3,2259000,27100,152.2,2022-12-19
ST-0114,Andhra Pradesh,Visakhapatnam,17.6635,83.2584,AC Level 1,2.0,94.4,169000,2000,3.4,2021-11-13
ST-0007,Uttar Pradesh,Kanpur,29.9077,83.6147,DC Fast Charger,4.0,63.9,902000,10800,57.0,2022-03-26
ST-0153,Rajasthan,Bikaner,25.3576,72.8962,AC Level 1,2.0,85.7,133000,1600,3.1,2022-04-22
ST-0013,Madhya Pradesh,Gwalior,25.6093,79.6608,Ultra-Fast DC,4.0,89.7,2523000,30300,143.4,2022-04-27
ST-0094,Gujarat,Gandhinagar,24.8853,77.2582,Ultra-Fast DC,1.0,52.9,2699000,32400,137.7,2021-05-16
ST-0102,Andhra Pradesh,Tirupati,22.3819,72.8903,AC Level 2,5.0,52.0,366000,4400,21.0,2020-02-19
ST-0184,Gujarat,Bhavnagar,25.1083,75.1808,AC Level 1,4.0,75.2,136000,1600,3.5,2022-04-24
ST-0276,Maharashtra,Mumbai,19.0673,72.8498,AC Level 1,3.0,75.4,136000,1600,3.1,2021-09-25
ST-0006,Telangana,Nizamabad,17.986,82.7915,AC Level 2,10.0,51.9,363000,4400,22.2,2022-05-13
ST-0145,Karnataka,Hubli,18.733,79.814,DC Fast Charger,2.0,69.4,1034000,12400,63.4,2023-04-26
ST-0003,Gujarat,Rajkot,23.7136,75.2348,DC Fast Charger,4.0,89.1,885000,10600,60.3,2021-07-05
ST-0080,Gujarat,Surat,21.1731,72.821,Ultra-Fast DC,4.0,55.9,2842000,34100,160.3,2023-12-29
ST-0068,Andhra Pradesh,Visakhapatnam,17.7328,83.1758,AC Level 1,4.0,22.7,168000,2000,3.4,2021-02-15
ST-0278,Delhi,New Delhi,28.5817,77.1842,DC Fast Charger,3.0,82.9,956000,11500,57.9,2023-07-17
ST-0116,Gujarat,Surat,21.1842,72.7833,Ultra-Fast DC,2.0,76.7,2848000,34200,157.8,2021-07-14
ST-0167,Andhra Pradesh,Guntur,22.2713,84.1582,Ultra-Fast DC,2.0,65.9,2400000,28800,135.2,2020-02-21
ST-0182,Telangana,Karimnagar,20.0465,82.8939,Ultra-Fast DC,2.0,40.1,2474000,29700,144.1,2020-11-19
ST-0118,Tamil Nadu,Vellore,27.1049,79.2196,AC Level 2,6.0,51.8,374000,4500,20.5,2023-01-12
ST-0290,Madhya Pradesh,Jabalpur,16.2487,77.5495,DC Fast Charger,3.0,61.1,1021000,12300,64.3,2023-12-21
ST-0207,Punjab,Ludhiana,17.2231,74.5553,AC Level 2,5.0,26.5,368000,4400,24.0,2021-01-08
ST-0286,Kerala,Thrissur,23.9978,72.3812,DC Fast Charger,2.0,41.5,927000,11100,55.2,2022-12-12
ST-0181,Madhya Pradesh,Jabalpur,22.4733,72.5753,AC Level 1,2.0,77.8,148000,1800,3.0,2021-03-05
ST-0222,Punjab,Ludhiana,17.2968,74.84,Ultra-Fast DC,4.0,76.4,2515000,30200,144.5,2021-01-02
ST-0091,Rajasthan,Ajmer,28.1095,83.8438,AC Level 2,5.0,49.9,370000,4400,20.4,2021-09-22
ST-0259,Karnataka,Shivamogga,25.1055,75.344,DC Fast Charger,4.0,33.6,1012000,12100,57.0,2022-06-11
ST-0010,Haryana,Yamunanagar,18.0289,79.2317,AC Level 2,6.0,74.4,395000,4700,21.8,2022-07-04
ST-0038,Tamil Nadu,Tiruchirappalli,20.1922,81.6802,DC Fast Charger,6.0,52.0,967000,11600,61.2,2020-05-21
ST-0190,Maharashtra,Solapur,26.0464,73.9014,DC Fast Charger,3.0,42.6,876000,10500,61.8,2023-03-20
ST-0046,Maharashtra,Pune,18.5047,73.8806,AC Level 2,4.0,58.1,393000,4700,20.5,2022-12-24
ST-0175,Tamil Nadu,Vellore,20.5868,72.5914,AC Level 2,4.0,49.3,344000,4100,19.9,2023-07-18
ST-0242,Delhi,Noida,23.9672,74.9577,Ultra-Fast DC,3.0,39.4,2589000,31100,146.6,2022-05-26
ST-0300,Haryana,Faridabad,26.2496,83.1929,AC Level 2,4.0,49.2,415000,5000,21.6,2022-05-02
ST-0191,Maharashtra,Solapur,29.6706,70.5989,Ultra-Fast DC,4.0,42.8,2659000,31900,152.9,2022-09-08
ST-0049,Rajasthan,Bikaner,,86.0053,Ultra-Fast DC,3.0,73.5,2288000,27500,159.3,2022-01-31
ST-0043,Karnataka,Bengaluru,13.0127,77.6027,Ultra-Fast DC,3.0,75.8,2378000,28500,149.8,2020-04-10
ST-0263,Punjab,Chandigarh,30.7499,76.7688,AC Level 2,7.0,69.7,437000,5200,20.2,2023-10-07
ST-0058,West Bengal,Kolkata,22.6205,88.3372,DC Fast Charger,3.0,42.7,1010000,12100,61.6,2020-04-13
ST-0146,Andhra Pradesh,Vijayawada,24.8743,75.9169,AC Level 2,10.0,73.6,347000,4200,22.4,2021-01-05
ST-0123,Delhi,Rohini,20.9254,81.1957,DC Fast Charger,5.0,54.6,998000,12000,61.9,2020-05-13
ST-0292,Kerala,Kollam,25.5993,82.9217,AC Level 1,4.0,93.6,168000,2000,3.3,2021-09-11
ST-0106,Gujarat,Vadodara,22.2804,73.172,Ultra-Fast DC,2.0,58.9,2501000,30000,152.8,2022-09-13
ST-0274,Gujarat,Vadodara,22.3379,73.211,AC Level 1,5.0,46.5,141000,1700,3.3,2021-10-10
ST-0285,Madhya Pradesh,Ujjain,24.367,84.5338,Ultra-Fast DC,1.0,71.2,2338000,28100,152.7,2022-04-01
ST-0190,Maharashtra,Solapur,26.0464,73.9014,DC Fast Charger,3.0,42.6,876000,10500,61.8,2023-03-20
ST-0294,Uttar Pradesh,Agra,28.1952,72.0648,DC Fast Charger,3.0,69.4,877000,10500,58.2,2020-08-27
ST-0002,Haryana,Faridabad,21.8948,71.964,Ultra-Fast DC,1.0,55.7,2365000,28400,158.5,2023-10-12
ST-0140,Maharashtra,Kolhapur,25.605,71.7645,Ultra-Fast DC,3.0,43.7,2376000,28500,155.0,2022-08-10
ST-0112,Punjab,Ludhiana,26.6507,84.611,Ultra-Fast DC,2.0,68.8,2533000,30400,159.6,2021-01-24
ST-0279,Rajasthan,Bikaner,21.1153,70.5455,AC Level 1,5.0,54.4,134000,1600,3.4,2022-05-15
ST-0244,Uttar Pradesh,Meerut,24.8774,71.4076,AC Level 2,7.0,77.0,371000,4500,20.2,2020-12-11
ST-0108,Delhi,Gurugram,25.8376,75.0747,AC Level 1,3.0,52.5,152000,1800,3.6,2020-05-15
ST-0009,Delhi,Rohini,20.3553,78.9217,DC Fast Charger,5.0,71.9,957000,11500,60.5,2021-12-20
ST-0231,Haryana,Ambala,28.3067,79.5193,DC Fast Charger,4.0,53.7,857000,10300,59.1,2020-08-30
ST-0284,Gujarat,Ahmedabad,22.995,72.5609,Ultra-Fast DC,1.0,55.8,2690000,32300,145.7,2023-02-17
ST-0192,Punjab,Ludhiana,21.7629,73.8104,AC Level 1,5.0,82.3,143000,1700,3.2,2021-08-28
ST-0022,Kerala,Thiruvananthapuram,26.9056,,AC Level 2,8.0,88.0,389000,4700,23.4,2021-05-26
ST-0281,Andhra Pradesh,Visakhapatnam,17.6976,83.2643,AC Level 2,10.0,68.7,402000,4800,21.2,2022-03-31
ST-0216,Rajasthan,Kota,17.1755,83.6505,DC Fast Charger,2.0,95.6,949000,11400,62.4,2021-12-07
ST-0221,Uttar Pradesh,Lucknow,26.8258,80.9206,DC Fast Charger,5.0,80.8,937000,11200,65.2,2020-02-24
ST-0120,Telangana,Warangal,25.5242,84.3018,Ultra-Fast DC,3.0,38.6,2791000,33500,164.0,2021-02-09
ST-0280,Haryana,Gurugram,27.3247,81.148,AC Level 1,4.0,17.7,142000,1700,3.0,2022-07-17
ST-0296,Haryana,Panipat,22.7118,77.0103,AC Level 2,9.0,90.4,355000,4300,21.0,2023-02-12
ST-0200,Uttar Pradesh,Varanasi,22.5626,83.2334,Ultra-Fast DC,,56.0,2466000,29600,152.1,2022-07-14
ST-0079,Punjab,Amritsar,16.5962,72.9067,DC Fast Charger,6.0,35.7,893000,10700,62.4,2023-05-06
ST-0262,Karnataka,Belagavi,27.0465,77.6084,AC Level 2,10.0,62.7,407000,4900,22.8,2022-10-30
ST-0047,Telangana,Warangal,17.8814,80.5408,AC Level 2,9.0,26.9,356000,4300,22.7,2020-08-04
ST-0109,Tamil Nadu,Madurai,27.5864,75.4171,Ultra-Fast DC,4.0,82.7,2263000,27200,143.0,2021-01-18
ST-0250,Gujarat,Vadodara,22.3432,73.2271,DC Fast Charger,6.0,63.3,782000,9400,59.0,2020-03-05
ST-0267,Gujarat,Rajkot,18.961,74.6105,AC Level 2,9.0,45.0,443000,5300,23.2,2022-04-11
ST-0272,Kerala,Kollam,29.0391,78.3972,DC Fast Charger,3.0,39.1,828000,9900,61.3,2021-10-03
ST-0083,Uttar Pradesh,Meerut,22.3421,75.1954,Ultra-Fast DC,1.0,60.8,2352000,28200,155.0,2023-05-30
ST-0265,Madhya Pradesh,Ujjain,27.1668,83.6114,Ultra-Fast DC,2.0,33.2,2704000,32400,151.3,2022-01-16
ST-0136,Tamil Nadu,Madurai,29.9398,80.6838,AC Level 2,4.0,47.4,367000,4400,21.3,2022-09-23
ST-0271,Delhi,New Delhi,28.589,77.223,DC Fast Charger,3.0,47.8,951000,11400,55.3,2020-08-17
ST-0111,Gujarat,Vadodara,22.2702,73.1612,AC Level 2,6.0,49.1,369000,4400,20.0,2022-02-05
ST-0295,Rajasthan,Jaipur,26.9329,75.7956,DC Fast Charger,4.0,81.4,942000,11300,65.9,2023-06-09
ST-0240,Gujarat,Rajkot,16.6975,85.7235,AC Level 1,5.0,49.4,166000,2000,3.1,2022-10-12
ST-0037,Delhi,New Delhi,28.5689,77.1781,DC Fast Charger,5.0,92.7,892000,10700,64.3,2023-03-06
ST-0093,Punjab,Chandigarh,30.7344,76.7473,Ultra-Fast DC,4.0,67.9,2181000,26200,145.1,2021-05-02
ST-0187,Gujarat,Vadodara,22.2887,73.171,AC Level 1,4.0,83.0,145000,1700,3.3,2022-07-28
ST-0229,Tamil Nadu,Chennai,13.0999,80.2416,AC Level 2,8.0,59.6,380000,4600,24.1,2022-05-04
ST-0063,Madhya Pradesh,Ujjain,16.3273,80.7296,Ultra-Fast DC,3.0,44.1,2445000,29300,160.8,2021-12-06
ST-0001,Punjab,Patiala,16.9605,78.405,Ultra-Fast DC,3.0,51.8,2552000,30600,163.6,2022-03-17
ST-0028,Delhi,Noida,30.004,77.4489,AC Level 1,4.0,32.3,163000,2000,3.6,2021-06-29
ST-0101,Kerala,Kozhikode,18.9395,79.1655,DC Fast Charger,6.0,34.8,799000,9600,63.0,2022-11-30
ST-0178,Uttar Pradesh,Varanasi,18.5491,72.7859,AC Level 1,6.0,88.9,130000,1600,3.6,2023-07-08
ST-0188,Telangana,Warangal,26.4257,73.5167,DC Fast Charger,6.0,73.9,994000,11900,57.2,2023-03-29
ST-0226,Telangana,Karimnagar,15.7,74.6264,AC Level 1,6.0,58.2,167000,2000,3.1,2023-05-11
ST-0149,Delhi,New Delhi,,77.2294,Ultra-Fast DC,2.0,49.0,2314000,27800,153.9,2022-02-16
ST-0064,Kerala,Kochi,9.9302,76.27,DC Fast Charger,5.0,78.4,957000,11500,62.1,2022-06-21
ST-0040,Maharashtra,Thane,26.6667,73.7954,AC Level 1,6.0,37.9,167000,2000,3.2,2022-12-09
ST-0255,Maharashtra,Nagpur,21.1655,79.0465,AC Level 1,4.0,39.4,167000,2000,3.1,2021-12-07
ST-0159,Uttar Pradesh,Lucknow,26.842,80.9303,Ultra-Fast DC,1.0,40.2,2143000,25700,150.4,2020-10-21
ST-0144,Tamil Nadu,Tiruchirappalli,15.78,85.8905,AC Level 1,4.0,47.4,133000,1600,3.5,2022-11-01
ST-0018,Uttar Pradesh,Meerut,28.9787,78.753,AC Level 2,5.0,45.5,396000,4700,21.0,2023-07-16
ST-0060,Tamil Nadu,Madurai,16.2385,79.1246,AC Level 1,6.0,63.3,149000,1800,3.5,2022-03-27
ST-0166,Gujarat,Surat,21.1845,72.8165,AC Level 2,9.0,74.2,430000,5200,19.9,2023-07-15
ST-0223,Uttar Pradesh,Allahabad,24.6507,70.4628,DC Fast Charger,6.0,59.3,948000,11400,58.5,2023-04-05
ST-0245,Karnataka,Hubli,29.6497,75.4469,Ultra-Fast DC,4.0,84.9,2844000,34100,163.7,2021-07-24
ST-0237,Kerala,Kochi,9.9261,76.2245,AC Level 1,6.0,76.7,137000,1600,3.4,2020-12-17
ST-0209,Kerala,Thiruvananthapuram,21.6467,75.8898,AC Level 2,9.0,52.0,422000,5100,21.2,2021-12-05
ST-0225,Tamil Nadu,Tiruchirappalli,15.8834,75.1028,AC Level 2,5.0,88.9,342000,4100,23.0,2022-01-09
ST-0150,Madhya Pradesh,Jabalpur,22.0877,72.3232,Ultra-Fast DC,4.0,75.3,2462000,29500,138.4,2023-10-21
ST-0124,Uttar Pradesh,Lucknow,26.8914,80.9366,AC Level 2,10.0,30.7,404000,4800,21.8,2022-11-06
ST-0056,Madhya Pradesh,Gwalior,15.6099,82.9242,Ultra-Fast DC,3.0,92.7,2181000,26200,135.0,2021-12-13
ST-0017,Uttar Pradesh,Allahabad,16.8661,78.4204,AC Level 2,4.0,74.2,388000,4700,24.1,2022-09-02
ST-0220,Telangana,Karimnagar,21.2363,78.8866,AC Level 2,,10.1,346000,4200,21.1,2023-02-08
ST-0228,Kerala,Kozhikode,27.379,70.2193,DC Fast Charger,5.0,62.2,955000,11500,58.9,2021-11-27
